city,lat,lon,n
Paris,48.8534951,2.3483915,3
Austin,30.2711286,-97.7436995,2
Medina,29.2836281,-99.1126826,2
Lanai,11.0234071,-74.84305212680471,1
Omaha,41.2587459,-95.9383758,1
Medina,29.2836281,-99.1126826,2
New York,40.7127281,-74.0060152,5
Mexico City,19.4326296,-99.1331785,1
Mumbai,19.0785451,72.878176,1
Hunts Point,47.6434321,-122.230124,1
Paris,48.8534951,2.3483915,3
Palo Alto,37.4443293,-122.1598465,2
La Coruna,43.3709703,-8.3959425,1
Los Altos,42.7811566,-3.620209626541331,1
Hangzhou,30.2489634,120.2052342,1
Palo Alto,37.4443293,-122.1598465,2
Wichita,37.6922361,-97.3375448,1
New York,40.7127281,-74.0060152,5
Bentonville,36.3728538,-94.2088172,2
Bentonville,36.3728538,-94.2088172,2
Fort Worth,32.753177,-97.3327459,1
Toronto,43.6534817,-79.3839347,1
Austin,30.2711286,-97.7436995,2
Ahmedabad,23.0216238,72.5797068,1
Hillsboro,45.5228939,-122.989827,1
Beijing,39.9057136,116.3912972,1
Neckarsulm,49.191133,9.2248391,1
Paris,48.8534951,2.3483915,3
Schindellegi,47.175612,8.7112027,1
Brussels,50.8550018,4.3512333761166175,1
The Plains,38.8624506,-77.774073,1
Jackson,32.2998686,-90.1830408,1
Hong Kong,22.350627,114.1849161,2
Shenzhen,22.5445741,114.0545429,1
Las Vegas,36.1672559,-115.148516,1
Miami,25.7741728,-80.19362,1
Salzburg,47.7981346,13.0464806,1
Ningde,27.0143281,119.4385501,1
Tokyo,35.6821936,139.762221,1
London,51.5074456,-0.1277653,1
New York,40.7127281,-74.0060152,5
New York,40.7127281,-74.0060152,5
Geneva,46.2047169,6.1423106290939335,2
Geneva,46.2047169,6.1423106290939335,2
Shanghai,31.2312707,121.4700152,1
Kuenzelsau,49.2803765,9.6901512,1
Hong Kong,22.350627,114.1849161,2
Haverford,40.0131672,-75.2943516,1
East Setauket,40.920966,-73.093714,1
New York,40.7127281,-74.0060152,5
